file,r_idx,r_idx_2,r_major,r_minor,mean,max,min
R6_r18.glb,6,18,7,3.4,0.7696201135210134,0.906666666666668,0.5828571428571423
R6_r19.glb,6,19,7,3.533333333333333,0.7972737918791971,0.9543019943019952,0.5832804232804225
R6_r20.glb,6,20,7,3.6666666666666665,0.8247367153268743,1.0028490028490038,0.5820105820105815
R6_r21.glb,6,21,7,3.8,0.8520088838640453,1.0523076923076935,0.5790476190476186
R6_r22.glb,6,22,7,3.933333333333333,0.8790902974907099,1.102678062678064,0.574391534391534
R6_r23.glb,6,23,7,4.066666666666666,0.9059809562068681,1.1539601139601148,0.5680423280423271
R6_r24.glb,6,24,7,4.2,0.9326808600125202,1.2061538461538466,0.5599999999999994
R6_r25.glb,6,25,7,4.333333333333334,0.9591900089076657,1.2592592592592606,0.5502645502645496
R6_r26.glb,6,26,7,4.466666666666667,0.9855084028923049,1.3132763532763547,0.538835978835978
R6_r27.glb,6,27,7,4.6,1.0116360419664376,1.3682051282051293,0.5257142857142852
R6_r28.glb,6,28,7,4.733333333333333,1.0375729261300644,1.4240455840455863,0.5108994708994703
R6_r29.glb,6,29,7,4.866666666666667,1.0633190553831846,1.480797720797723,0.49439153439153377
R6_r30.glb,6,30,7,5,1.0888744297257984,1.53846153846154,0.47619047619047583
R7_r0.glb,7,0,7.333333333333333,1,0.25088242267403355,0.30158730158730196,0.21367521367521325
R7_r1.glb,7,1,7.333333333333333,1.1333333333333333,0.2835227039942527,0.334603174603175,0.24603988603988583
R7_r2.glb,7,2,7.333333333333333,1.2666666666666666,0.31597223040396555,0.3659259259259263,0.27931623931623895
R7_r3.glb,7,3,7.333333333333333,1.4,0.348231001903172,0.3955555555555558,0.31350427350427307
R7_r4.glb,7,4,7.333333333333333,1.5333333333333332,0.3802990184918722,0.42349206349206386,0.3486039886039882
R7_r5.glb,7,5,7.333333333333333,1.6666666666666663,0.41217628017006597,0.44973544973545015,0.3846153846153843
R7_r6.glb,7,6,7.333333333333333,1.8,0.44386278693775344,0.47428571428571487,0.421538461538461
R7_r7.glb,7,7,7.333333333333333,1.9333333333333331,0.47535853879493456,0.4971428571428576,0.4593732193732186
R7_r8.glb,7,8,7.333333333333333,2.0666666666666664,0.5066635357416093,0.5183068783068789,0.49811965811965736
R7_r9.glb,7,9,7.333333333333333,2.2,0.5377777777777778,0.5377777777777818,0.5377777777777724
R7_r10.glb,7,10,7.333333333333333,2.333333333333333,0.5687012649034398,0.5783475783475789,0.5555555555555547
R7_r11.glb,7,11,7.333333333333333,2.466666666666667,0.5994339971185956,0.6198290598290608,0.5716402116402106
R7_r12.glb,7,12,7.333333333333333,2.6,0.629975974423245,0.6622222222222227,0.5860317460317455
R7_r13.glb,7,13,7.333333333333333,2.7333333333333334,0.660327196817388,0.7055270655270661,0.5987301587301582
R7_r14.glb,7,14,7.333333333333333,2.8666666666666667,0.6904876643010247,0.7497435897435905,0.6097354497354491
R7_r15.glb,7,15,7.333333333333333,3,0.7204573768741551,0.7948717948717956,0.6190476190476184
R7_r16.glb,7,16,7.333333333333333,3.1333333333333333,0.7502363345367791,0.8409116809116818,0.6266666666666657
R7_r17.glb,7,17,7.333333333333333,3.2666666666666666,0.7798245372888968,0.8878632478632489,0.6325925925925918
R7_r18.glb,7,18,7.333333333333333,3.4,0.809221985130508,0.9357264957264964,0.6368253968253957
R7_r19.glb,7,19,7.333333333333333,3.533333333333333,0.838428678061613,0.9845014245014256,0.6393650793650785
R7_r20.glb,7,20,7.333333333333333,3.6666666666666665,0.8674446160822117,1.0341880341880358,0.6402116402116393
R7_r21.glb,7,21,7.333333333333333,3.8,0.896269799192304,1.084786324786326,0.6393650793650787
R7_r22.glb,7,22,7.333333333333333,3.933333333333333,0.9249042273918899,1.136296296296297,0.6368253968253961
R7_r23.glb,7,23,7.333333333333333,4.066666666666666,0.9533479006809696,1.1887179487179496,0.6325925925925917
R7_r24.glb,7,24,7.333333333333333,4.2,0.9816008190595429,1.2420512820512832,0.6266666666666658
R7_r25.glb,7,25,7.333333333333333,4.333333333333334,1.00966298252761,1.2962962962962978,0.6190476190476184
R7_r26.glb,7,26,7.333333333333333,4.466666666666667,1.0375343910851704,1.3514529914529927,0.6097354497354488
R7_r27.glb,7,27,7.333333333333333,4.6,1.0652150447322246,1.4075213675213687,0.598730158730158
R7_r28.glb,7,28,7.333333333333333,4.733333333333333,1.0927049434687726,1.4645014245014272,0.5860317460317455
R7_r29.glb,7,29,7.333333333333333,4.866666666666667,1.1200040872948143,1.5223931623931648,0.5716402116402108
R7_r30.glb,7,30,7.333333333333333,5,1.1471124762103493,1.5811965811965825,0.5555555555555549
R8_r0.glb,8,0,7.666666666666666,1,0.2625300319709437,0.3174603174603179,0.222222222222222
R8_r1.glb,8,1,7.666666666666666,1.1333333333333333,0.2967233278640843,0.35259259259259285,0.2557264957264952
R8_r2.glb,8,2,7.666666666666666,1.2666666666666666,0.33072586884671845,0.3860317460317465,0.29014245014245
R8_r3.glb,8,3,7.666666666666666,1.4,0.3645376549188463,0.4177777777777782,0.3254700854700851
R8_r4.glb,8,4,7.666666666666666,1.5333333333333332,0.3981586860804677,0.44783068783068825,0.36170940170940136
R8_r5.glb,8,5,7.666666666666666,1.6666666666666663,0.43158896233158295,0.47619047619047655,0.3988603988603981
R8_r6.glb,8,6,7.666666666666666,1.8,0.4648284836721918,0.5028571428571433,0.4369230769230766
R8_r7.glb,8,7,7.666666666666666,1.9333333333333331,0.4978772501022943,0.5278306878306883,0.4758974358974355
R8_r8.glb,8,8,7.666666666666666,2.0666666666666664,0.5307352616218903,0.5511111111111116,0.5157834757834749
R8_r9.glb,8,9,7.666666666666666,2.2,0.5634025182309802,0.5726984126984133,0.5565811965811962
R8_r10.glb,8,10,7.666666666666666,2.333333333333333,0.5958790199295635,0.5982905982905993,0.5925925925925919
R8_r11.glb,8,11,7.666666666666666,2.466666666666667,0.6281647667176408,0.6409116809116817,0.6107936507936502
R8_r12.glb,8,12,7.666666666666666,2.6,0.6602597585952115,0.684444444444445,0.6273015873015864
R8_r13.glb,8,13,7.666666666666666,2.7333333333333334,0.6921639955622759,0.7288888888888895,0.6421164021164014
R8_r14.glb,8,14,7.666666666666666,2.8666666666666667,0.7238774776188339,0.7742450142450151,0.6552380952380944
R8_r15.glb,8,15,7.666666666666666,3,0.7554002047648857,0.8205128205128212,0.666666666666666
R8_r16.glb,8,16,7.666666666666666,3.1333333333333333,0.7867321770004311,0.8676923076923088,0.6764021164021157
R8_r17.glb,8,17,7.666666666666666,3.2666666666666666,0.8178733943254701,0.915783475783477,0.6844444444444436
R8_r18.glb,8,18,7.666666666666666,3.4,0.8488238567400027,0.964786324786326,0.69079365079365
R8_r19.glb,8,19,7.666666666666666,3.533333333333333,0.8795835642440292,1.0147008547008554,0.6954497354497345
R8_r20.glb,8,20,7.666666666666666,3.6666666666666665,0.9101525168375492,1.0655270655270666,0.6984126984126976
R8_r21.glb,8,21,7.666666666666666,3.8,0.9405307145205628,1.1172649572649582,0.6996825396825388
R8_r22.glb,8,22,7.666666666666666,3.933333333333333,0.9707181572930701,1.169914529914531,0.6992592592592587
R8_r23.glb,8,23,7.666666666666666,4.066666666666666,1.0007148451550711,1.2234757834757843,0.6971428571428561
R8_r24.glb,8,24,7.666666666666666,4.2,1.0305207781065657,1.2779487179487197,0.6933333333333325
R8_r25.glb,8,25,7.666666666666666,4.333333333333334,1.060135956147554,1.3333333333333348,0.6878306878306871
R8_r26.glb,8,26,7.666666666666666,4.466666666666667,1.089560379278036,1.3896296296296302,0.68063492063492
R8_r27.glb,8,27,7.666666666666666,4.6,1.1187940474980114,1.446837606837608,0.6717460317460311
R8_r28.glb,8,28,7.666666666666666,4.733333333333333,1.1478369608074808,1.5049572649572662,0.6611640211640203
R8_r29.glb,8,29,7.666666666666666,4.866666666666667,1.176689119206444,1.5639886039886053,0.648888888888888
R8_r30.glb,8,30,7.666666666666666,5,1.2053505226949002,1.6239316239316255,0.634920634920634
R9_r0.glb,9,0,8,1,0.27417764126785393,0.33333333333333354,0.23076923076923053
R9_r1.glb,9,1,8,1.1333333333333333,0.30992395173391585,0.3705820105820109,0.265413105413105
R9_r2.glb,9,2,8,1.2666666666666666,0.3454795072894714,0.40613756613756663,0.30096866096866054
R9_r3.glb,9,3,8,1.4,0.3808443079345206,0.44000000000000034,0.33743589743589697
R9_r4.glb,9,4,8,1.5333333333333332,0.4160183536690635,0.47216931216931246,0.3748148148148144
R9_r5.glb,9,5,8,1.6666666666666663,0.4510016444931,0.5026455026455031,0.4131054131054124
R9_r6.glb,9,6,8,1.8,0.4857941804066302,0.531428571428572,0.45230769230769174
R9_r7.glb,9,7,8,1.9333333333333331,0.520395961409654,0.5585185185185191,0.492421652421652
R9_r8.glb,9,8,8,2.0666666666666664,0.5548069875021715,0.5839153439153444,0.5334472934472927
R9_r9.glb,9,9,8,2.2,0.5890272586841827,0.6076190476190484,0.5753846153846147
R9_r10.glb,9,10,8,2.333333333333333,0.6230567749556875,0.6296296296296303,0.6182336182336171
R9_r11.glb,9,11,8,2.466666666666667,0.656895536316686,0.6619943019943028,0.6499470899470892
R9_r12.glb,9,12,8,2.6,0.6905435427671781,0.7066666666666676,0.668571428571428
R9_r13.glb,9,13,8,2.7333333333333334,0.7240007943071639,0.752250712250713,0.6855026455026447
R9_r14.glb,9,14,8,2.8666666666666667,0.7572672909366432,0.7987464387464397,0.7007407407407398
R9_r15.glb,9,15,8,3,0.7903430326556163,0.8461538461538476,0.7142857142857133
R9_r16.glb,9,16,8,3.1333333333333333,0.8232280194640831,0.8944729344729354,0.7261375661375655
R9_r17.glb,9,17,8,3.2666666666666666,0.8559222513620435,0.9437037037037044,0.7362962962962958
R9_r18.glb,9,18,8,3.4,0.8884257283494975,0.993846153846155,0.7447619047619042
R9_r19.glb,9,19,8,3.533333333333333,0.9207384504264452,1.0449002849002853,0.7515343915343908
R9_r20.glb,9,20,8,3.6666666666666665,0.9528604175928865,1.0968660968660984,0.7566137566137557
R9_r21.glb,9,21,8,3.8,0.9847916298488216,1.149743589743591,0.7599999999999992
R9_r22.glb,9,22,8,3.933333333333333,1.0165320871942503,1.2035327635327646,0.7616931216931208
R9_r23.glb,9,23,8,4.066666666666666,1.0480817896291725,1.2582336182336202,0.761693121693121
R9_r24.glb,9,24,8,4.2,1.0794407371535888,1.3138461538461554,0.7599999999999989
R9_r25.glb,9,25,8,4.333333333333334,1.1106089297674984,1.3703703703703718,0.756613756613756
